horizonMinutes,regime,start,end,day,startCheckpoint,endCheckpoint,minutes,maxCheckpointGapSeconds,startTick,endTick,minTick,maxTick,absoluteReturnPct,returnPct,endpointTicks,peakExcursionTicks,downPriceTicks,upPriceTicks,swaps,volumeUsdg,cross10,cross20,cross30,cross40,cross50
30,holiday,2026-09-07T13:32:59.000Z,2026-09-07T14:03:38.000Z,2026-09-07,705,733,30.65,184.0,221831,221838,221831,221838,0.06591451366528833,-0.06591451366528833,7,7,7,0,3292,622012.8588679999,False,False,False,False,False
30,holiday,2026-09-07T14:03:38.000Z,2026-09-07T14:34:22.000Z,2026-09-07,733,763,30.733333333333334,64.0,221838,221843,221838,221843,0.05234124883287672,-0.05234124883287672,5,5,5,0,2763,398497.2840000001,False,False,False,False,False
30,holiday,2026-09-07T14:34:22.000Z,2026-09-07T15:05:04.000Z,2026-09-07,763,793,30.7,63.0,221843,221838,221836,221846,0.05562853725382677,0.05562853725382677,5,7,3,7,1880,395834.455433,False,False,False,False,False
30,holiday,2026-09-07T15:05:04.000Z,2026-09-07T15:35:43.000Z,2026-09-07,793,823,30.65,63.0,221838,221849,221838,221849,0.11085980323179978,-0.11085980323179978,11,11,11,0,2035,607579.704591,True,False,False,False,False
30,holiday,2026-09-07T15:35:43.000Z,2026-09-07T16:06:26.000Z,2026-09-07,823,853,30.716666666666665,63.0,221849,221856,221849,221866,0.07441150164702037,-0.07441150164702037,7,17,17,0,3380,892148.3104500001,True,False,False,False,False
30,holiday,2026-09-07T16:06:26.000Z,2026-09-07T16:37:07.000Z,2026-09-07,853,883,30.683333333333334,65.0,221856,221852,221850,221856,0.041475674502988724,0.041475674502988724,4,6,0,6,4870,609112.6022559999,False,False,False,False,False
30,holiday,2026-09-07T16:37:07.000Z,2026-09-07T17:07:52.000Z,2026-09-07,883,911,30.75,186.0,221852,221856,221850,221857,0.038434827554600925,-0.038434827554600925,4,5,5,2,2160,350722.678895,False,False,False,False,False
30,holiday,2026-09-07T17:07:52.000Z,2026-09-07T17:38:40.000Z,2026-09-07,911,941,30.8,64.0,221856,221852,221852,221856,0.036005144855910665,0.036005144855910665,4,4,0,4,7108,756400.6320069999,False,False,False,False,False
30,holiday,2026-09-07T17:38:40.000Z,2026-09-07T18:09:22.000Z,2026-09-07,941,971,30.7,63.0,221852,221849,221849,221854,0.02887620376739175,0.02887620376739175,3,3,2,3,2361,441906.9348759999,False,False,False,False,False
30,holiday,2026-09-07T18:09:22.000Z,2026-09-07T18:40:07.000Z,2026-09-07,971,1001,30.75,63.0,221849,221849,221843,221849,0.005291685545705249,0.005291685545705249,0,6,0,6,1296,330864.596753,False,False,False,False,False
30,holiday,2026-09-07T18:40:07.000Z,2026-09-07T19:10:51.000Z,2026-09-07,1001,1031,30.733333333333334,63.0,221849,221850,221848,221850,0.013567229306632456,-0.013567229306632456,1,1,1,1,954,152114.86947800004,False,False,False,False,False
30,holiday,2026-09-07T19:10:51.000Z,2026-09-07T19:41:37.000Z,2026-09-07,1031,1061,30.766666666666666,63.0,221850,221842,221842,221850,0.08061654152262676,0.08061654152262676,8,8,0,8,1312,299897.2273440001,False,False,False,False,False
30,holiday,2026-09-07T19:41:37.000Z,2026-09-07T20:12:26.000Z,2026-09-07,1061,1091,30.816666666666666,63.0,221842,221843,221841,221843,0.004038312316945181,-0.004038312316945181,1,1,1,1,1966,279814.4803729999,False,False,False,False,False
30,holiday,2026-09-07T20:12:26.000Z,2026-09-07T20:43:07.000Z,2026-09-07,1091,1119,30.683333333333334,182.0,221843,221843,221843,221845,0.005379970853902627,-0.005379970853902627,0,2,2,0,640,115716.62789699995,False,False,False,False,False
30,holiday,2026-09-07T20:43:07.000Z,2026-09-07T21:13:52.000Z,2026-09-07,1119,1149,30.75,63.0,221843,221841,221841,221843,0.020667972666088552,0.020667972666088552,2,2,0,2,657,126644.54787800003,False,False,False,False,False
30,holiday,2026-09-07T21:13:52.000Z,2026-09-07T21:44:40.000Z,2026-09-07,1149,1179,30.8,65.0,221841,221839,221837,221841,0.025749801113583715,0.025749801113583715,2,4,0,4,1087,266048.54676999996,False,False,False,False,False
30,holiday,2026-09-07T21:44:40.000Z,2026-09-07T22:15:21.000Z,2026-09-07,1179,1206,30.683333333333334,246.0,221839,221851,221838,221851,0.12315474668506132,-0.12315474668506132,12,12,12,1,2114,374042.39052500005,True,False,False,False,False
30,holiday,2026-09-07T22:15:21.000Z,2026-09-07T22:46:10.000Z,2026-09-07,1206,1236,30.816666666666666,63.0,221851,221868,221851,221869,0.1721567489475273,-0.1721567489475273,17,18,18,0,2563,548351.8404239999,True,False,False,False,False
