window,cap,rangePolicy,kind,checkpoint,at,tokenIn,amountIn,amountOut,feeInput,feeQuote,spotShortfallQuote,impactBeyondFeeQuote
2026-09-09T19:59:38.000Z,700000,preserve_tokens,entry,4081,2026-09-10T00:04:18.000Z,USDG,431892487,1928777622160432053,215947,215947,216611,664
2026-09-09T19:59:38.000Z,700000,preserve_tokens,exit,4100,2026-09-10T00:23:47.000Z,NVDA,2960114097244504940,661340341,1480057048622253,330836,331663,827
2026-09-09T19:59:38.000Z,700000,preserve_tokens,entry,4112,2026-09-10T00:36:07.000Z,USDG,328692671,1469978847126645321,164347,164347,164550,203
2026-09-09T19:59:38.000Z,700000,preserve_tokens,exit,4165,2026-09-10T01:30:27.000Z,NVDA,3152961557973503687,702893127,1576480778986752,351623,354458,2835
2026-09-09T19:59:38.000Z,700000,preserve_tokens,entry,4177,2026-09-10T01:42:45.000Z,USDG,329346482,1477234314321135367,164674,164674,165293,619
2026-09-09T19:59:38.000Z,700000,preserve_tokens,exit,4532,2026-09-10T07:50:29.000Z,NVDA,186265934695924093,41546596,93132967347963,20783,20791,8
2026-09-09T19:59:38.000Z,700000,net_swap,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,700000,net_swap,recenter,4061,2026-09-09T23:43:50.000Z,NVDA,934019849417539639,208789823,467009924708770,104447,104530,83
2026-09-09T19:59:38.000Z,700000,net_swap,exit,4069,2026-09-09T23:52:00.000Z,NVDA,1750791198350836185,391355440,875395599175419,195775,196065,290
2026-09-09T19:59:38.000Z,700000,net_swap,entry,4081,2026-09-10T00:04:18.000Z,USDG,431765563,1928210798786818722,215883,215883,216546,663
2026-09-09T19:59:38.000Z,700000,net_swap,recenter,4096,2026-09-10T00:19:41.000Z,NVDA,796905158881342702,178139091,398452579440672,89114,89174,60
2026-09-09T19:59:38.000Z,700000,net_swap,exit,4150,2026-09-10T01:15:03.000Z,NVDA,2960674820989877414,660840051,1480337410494939,330586,332754,2168
2026-09-09T19:59:38.000Z,700000,net_swap,entry,4162,2026-09-10T01:27:23.000Z,USDG,440531238,1973472512076457116,220266,220266,221377,1111
2026-09-09T19:59:38.000Z,700000,net_swap,exit,4168,2026-09-10T01:33:32.000Z,NVDA,3232886979601343661,719086415,1616443489800672,359725,364443,4718
2026-09-09T19:59:38.000Z,700000,net_swap,entry,4180,2026-09-10T01:45:47.000Z,USDG,444522971,1993243593496188032,222262,222262,223389,1127
2026-09-09T19:59:38.000Z,700000,net_swap,recenter,4251,2026-09-10T02:58:29.000Z,USDG,185455693,830174575301780171,92728,92728,92895,167
2026-09-09T19:59:38.000Z,700000,net_swap,recenter,4407,2026-09-10T05:40:25.000Z,USDG,185744764,830964153430731068,92873,92873,92995,122
2026-09-09T19:59:38.000Z,700000,net_swap,exit,4447,2026-09-10T06:21:21.000Z,NVDA,3246997119827294843,723766228,1623498559913648,362065,364289,2224
2026-09-09T19:59:38.000Z,700000,net_swap,entry,4459,2026-09-10T06:33:38.000Z,USDG,343680873,1540310850429860406,171841,171841,172342,501
2026-09-09T19:59:38.000Z,700000,net_swap,recenter,4487,2026-09-10T07:04:24.000Z,USDG,188649680,844617056568048057,94325,94325,94464,139
2026-09-09T19:59:38.000Z,700000,net_swap,exit,4518,2026-09-10T07:36:09.000Z,NVDA,3047108676979514989,678680223,1523554338489758,339510,341497,1987
2026-09-09T19:59:38.000Z,800000,hold_range,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,800000,hold_range,exit,4069,2026-09-09T23:52:00.000Z,NVDA,2681773846121802833,599458332,1340886923060902,299879,300559,680
2026-09-09T19:59:38.000Z,800000,hold_range,entry,4081,2026-09-10T00:04:18.000Z,USDG,432698142,1932375569927515312,216350,216350,217016,666
2026-09-09T19:59:38.000Z,800000,hold_range,exit,4532,2026-09-10T07:50:29.000Z,NVDA,3304861303269861986,737146769,1652430651634931,368758,371066,2308
2026-09-09T19:59:38.000Z,800000,preserve_tokens,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,800000,preserve_tokens,exit,4069,2026-09-09T23:52:00.000Z,NVDA,2660309593506484507,594660422,1330154796753243,297479,298147,668
2026-09-09T19:59:38.000Z,800000,preserve_tokens,entry,4081,2026-09-10T00:04:18.000Z,USDG,431892487,1928777622160432053,215947,215947,216611,664
2026-09-09T19:59:38.000Z,800000,preserve_tokens,exit,4168,2026-09-10T01:33:32.000Z,NVDA,3351893605923761846,745556709,1675946802961881,372967,378038,5071
2026-09-09T19:59:38.000Z,800000,preserve_tokens,entry,4180,2026-09-10T01:45:47.000Z,USDG,444980850,1995296720115802120,222491,222491,223621,1130
2026-09-09T19:59:38.000Z,800000,preserve_tokens,exit,4532,2026-09-10T07:50:29.000Z,NVDA,373078556596084476,83215115,186539278298043,41628,41658,30
2026-09-09T19:59:38.000Z,800000,net_swap,entry,3844,2026-09-09T20:01:42.000Z,USDG,391672556,1748260236672310781,195837,195837,196369,532
2026-09-09T19:59:38.000Z,800000,net_swap,recenter,4061,2026-09-09T23:43:50.000Z,NVDA,934019849417539639,208789823,467009924708770,104447,104530,83
