symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
GME,1000000000,fixed_160,pinned_fork_costs,70,True,True,True,True,True,True,,False,3931220000,206523000,3750000,1192578791,263490820,2793808
GME,1000000000,adaptive_width,pinned_fork_costs,958,True,True,True,True,True,True,,False,3793000000,872099000,9641000,5562597461,4290353596,120172986
GME,1000000000,adaptive_economic,pinned_fork_costs,367,True,True,True,True,True,True,,False,1655797000,509287000,18069000,3328741088,2618768322,33794668
GME,1000000000,fixed_20,double_gas_half_fees,1145,True,True,True,True,True,True,1787849452000,True,2544362000,842362000,95938000,491549631,223226333,53590619
GME,1000000000,fixed_40,double_gas_half_fees,822,True,True,True,True,True,True,,False,3896459000,365374000,54546000,1258292294,411070553,30386509
GME,1000000000,fixed_80,double_gas_half_fees,206,True,True,True,True,True,True,,False,3922371000,300208000,26955000,924656371,328098908,19336834
GME,1000000000,fixed_160,double_gas_half_fees,70,True,True,True,True,True,True,,False,3932403000,201386000,3750000,477478659,96340440,1280375
GME,1000000000,adaptive_width,double_gas_half_fees,394,True,True,True,True,True,True,,False,3871957000,256024000,901000,946332795,410838512,14219979
GME,1000000000,adaptive_economic,double_gas_half_fees,176,True,True,True,True,True,True,,False,1041027000,165061000,2933000,495360441,259509746,6081618
GME,1000000000,fixed_20,partial_mint_failure,1633,True,True,True,True,True,True,,False,3271021000,2129597000,84190000,3043062510,1985040831,154933227
GME,1000000000,fixed_40,partial_mint_failure,693,True,True,True,True,True,True,,False,3682137000,393864000,43468000,3014376086,878248289,35319369
GME,1000000000,fixed_80,partial_mint_failure,219,True,True,True,True,True,True,,False,3872438000,323581000,27975000,2239203671,768568678,62579473
GME,1000000000,fixed_160,partial_mint_failure,61,True,True,True,True,True,True,,False,3891690000,180463000,18000,963255454,164136347,58909
GME,1000000000,adaptive_width,partial_mint_failure,575,True,True,True,True,True,True,,False,3644712000,598697000,2971000,2140267979,1179692511,5369435
GME,1000000000,adaptive_economic,partial_mint_failure,223,True,True,True,True,True,True,,False,1592873000,429696000,16476000,1488100856,944586944,16771392
GME,250000000,fixed_20,pinned_fork_costs,2235,True,True,True,True,True,True,,False,3769668000,398827000,35965000,3280552043,1322715806,25412806
GME,250000000,fixed_40,pinned_fork_costs,827,True,True,True,True,True,True,,False,3896452000,272077000,17701000,1834671783,457352108,8532780
GME,250000000,fixed_80,pinned_fork_costs,227,True,True,True,True,True,True,,False,3933387000,104035000,5242000,848722902,84139613,1789719
GME,250000000,fixed_160,pinned_fork_costs,74,True,True,True,True,True,True,,False,3939433000,50156000,1394000,333391919,25173553,837741
GME,250000000,adaptive_width,pinned_fork_costs,1176,True,True,True,True,True,True,,False,3859337000,201670000,77000,2438756473,808157554,11145068
GME,250000000,adaptive_economic,pinned_fork_costs,375,True,True,True,True,True,True,,False,724425000,84357000,77000,1071193060,270503892,8571207
GME,250000000,fixed_20,double_gas_half_fees,397,True,True,True,True,True,True,1785858432000,True,709816000,62873000,5846000,54408199,21123899,1863849
GME,250000000,fixed_40,double_gas_half_fees,404,True,True,True,True,True,True,1787673603000,True,2654958000,142385000,9868000,103929956,30444517,2519909
GME,250000000,fixed_80,double_gas_half_fees,226,True,True,True,True,True,True,,False,3933138000,69042000,5182000,261626872,20859143,864428
GME,250000000,fixed_160,double_gas_half_fees,74,True,True,True,True,True,True,,False,3939433000,46456000,1394000,130278569,10400509,388774
GME,250000000,adaptive_width,double_gas_half_fees,634,True,True,True,True,True,True,,False,3891013000,71186000,55000,383237161,105524932,2170391
GME,250000000,adaptive_economic,double_gas_half_fees,116,True,True,True,True,True,True,,False,427092000,11352000,0,95798816,33177495,0
