symbol,budgetQuote,width,count,emptyBoundaryMarks,meanAbsoluteErrorQuote,baselineMeanAbsoluteErrorQuote,relativeErrorReduction,meanPredictedQuote,meanActualQuote
SPCX,5000000000,80,5707,0,1069872.218854039,1130200.8519362188,0.053378683071090394,1241808.985456457,1149823.5789381461
SPCX,5000000000,160,5741,0,651435.4016721826,660914.9477442955,0.014343065025941069,712171.3135342274,691395.145096673
SPY,250000000,20,1917,0,25671.356285863327,25743.864371413667,0.0028165190938021344,31817.0406885759,33302.971830985916
SPY,250000000,40,1917,0,13491.158581116328,13491.238393322901,5.915854738158856e-06,16164.003129890454,17314.52738654147
SPY,250000000,80,1917,0,6870.108502869066,6870.193531559728,1.237646221636926e-05,8139.948878455921,8791.882107459573
SPY,250000000,160,1917,0,3457.6338028169016,3457.6890975482524,1.5991817017405434e-05,4090.534689619197,4422.110067814293
SPY,1000000000,20,1917,0,96183.1690140845,96374.26812728221,0.0019828852339020485,119767.68127282211,124895.90297339593
SPY,1000000000,40,1917,0,52011.273343766305,52011.34533124674,1.384072647606308e-06,62499.71570161711,66875.50130412102
SPY,1000000000,80,1917,0,26941.303077725614,26941.376108502867,2.710729287249748e-06,31977.902451747523,34525.38706311946
SPY,1000000000,160,1917,0,13688.341679707877,13688.413145539906,5.220899695922607e-06,16211.858633281168,17523.072509128848
SPY,5000000000,20,1894,0,379285.30095036956,379455.3859556494,0.00044823452657412143,479707.3004223865,490980.3574445618
SPY,5000000000,40,1900,0,224384.74368421052,224384.8047368421,2.7208897523408384e-07,272777.3973684211,289731.60736842104
SPY,5000000000,80,1900,0,123376.28105263157,123376.35052631579,5.631037383919684e-07,147539.45894736843,159319.22315789474
SPY,5000000000,160,1900,0,64936.97894736842,64937.06105263158,1.2643821852570184e-06,77239.66157894737,83930.43842105263
TSLA,250000000,20,825,1,88824.28727272728,100192.6896969697,0.11346538812987131,101194.3612121212,98873.37575757576
TSLA,250000000,40,825,1,54614.077575757576,55925.516363636365,0.023449739459741593,58919.317575757574,59248.07636363636
TSLA,250000000,80,825,1,30326.575757575756,30326.61696969697,1.3589422537074043e-06,31241.101818181818,32253.117575757577
TSLA,250000000,160,825,1,15546.541818181819,15546.621818181819,5.145812443089068e-06,15779.105454545455,16541.581818181818
TSLA,1000000000,20,825,1,313493.00606060604,351909.76606060605,0.10916650717043143,353873.89212121215,340202.0206060606
TSLA,1000000000,40,825,1,202275.74787878786,206741.43151515152,0.021600332374772973,217768.95030303032,215890.3903030303
TSLA,1000000000,80,825,1,115782.34545454546,115782.3612121212,1.3609651412020177e-07,119406.99272727272,122208.99393939394
TSLA,1000000000,160,825,1,60650.05090909091,60650.07636363636,4.196951921697348e-07,61623.214545454546,64281.52484848485
TSLA,5000000000,20,628,1,1284052.8917197452,1402654.2149681528,0.08455492592741432,1382140.2308917197,1241077.539808917
TSLA,5000000000,40,644,1,862444.6692546584,864773.5419254658,0.002693043389859142,895493.4611801242,829769.6770186336
TSLA,5000000000,80,749,1,473149.6368491322,473149.5727636849,-1.354443730947315e-07,482889.0801068091,474630.57009345794
TSLA,5000000000,160,807,1,268076.166047088,268076.13878562575,-1.0169298293086979e-07,272064.1796778191,278028.50185873604
